place_name,maps_url,rating,review_count,scraped_swiggy,swiggy_rest_id,scraped_google
Marseli - Cafe & Patisserie,https://www.google.com/maps/place/Marseli+-+Cafe+%26+Patisserie/data=!4m7!3m6!1s0x3bae15986cd066bf:0x40bf419cf6844424!8m2!3d12.9163358!4d77.6491174!16s%2Fg%2F11ygg90zh2!19sChIJv2bQbJgVrjsRJESE9pxBv0A,4.5,1555,true,
Teatings,https://www.google.com/maps/place/Teatings/data=!4m7!3m6!1s0x3bae157632efc489:0x34dc8024e2690303!8m2!3d12.9129181!4d77.6354114!16s%2Fg%2F11vdx6y58y!19sChIJicTvMnYVrjsRAwNp4iSA3DQ,4.6,1333,true,790034
The Pet People Cafe,https://www.google.com/maps/place/The+Pet+People+Cafe/data=!4m7!3m6!1s0x3bae1567d3c11d2f:0xb9d0166f593e29a2!8m2!3d12.9124858!4d77.6444174!16s%2Fg%2F11p0y9zd2m!19sChIJLx3B02cVrjsRoik-WW8W0Lk,4.7,1317,true,520017
North Star Café,https://www.google.com/maps/place/North+Star+Caf%C3%A9/data=!4m7!3m6!1s0x3bae15dc9603fe57:0x9f93efbca38942e5!8m2!3d12.9118841!4d77.6389273!16s%2Fg%2F11vk8hl8nd!19sChIJV_4DltwVrjsR5UKJo7zvk58,4.5,1307,true,812201
Beanlore - HSR Layout,https://www.google.com/maps/place/Beanlore+-+HSR+Layout/data=!4m7!3m6!1s0x3bae15fff842d533:0xb0bfac9edbb39b70!8m2!3d12.9123126!4d77.6416021!16s%2Fg%2F11ssnhdl4b!19sChIJM9VC-P8VrjsRcJuz256sv7A,4.2,1048,true,
The Amrith Cafe,https://www.google.com/maps/place/The+Amrith+Cafe/data=!4m7!3m6!1s0x3bae15c22ce28375:0x7818991508024dcf!8m2!3d12.9150524!4d77.6354945!16s%2Fg%2F11vt47987g!19sChIJdYPiLMIVrjsRz00CCBWZGHg,4.6,1004,true,860302
Blue Tokai Coffee Roasters | HSR Layout,https://www.google.com/maps/place/Blue+Tokai+Coffee+Roasters+%7C+HSR+Layout/data=!4m7!3m6!1s0x3bae15fd7d176395:0xc04cec015aa6198c!8m2!3d12.9127987!4d77.6448112!16s%2Fg%2F11rysknfvr!19sChIJlWMXff0VrjsRjBmmWgHsTMA,4.2,888,true,91628
Amintiri - Cafe | Patisserie | Gifting,https://www.google.com/maps/place/Amintiri+-+Cafe+%7C+Patisserie+%7C+Gifting/data=!4m7!3m6!1s0x3bae1500755f1779:0xc772145af505d93!8m2!3d12.9118597!4d77.6448006!16s%2Fg%2F11xdb4g4qn!19sChIJeRdfdQAVrjsRk11Qr0Uhdww,4.5,831,true,
Coffee makers,https://www.google.com/maps/place/Coffee+makers/data=!4m7!3m6!1s0x3bae15f882152b05:0x214193f8dfc07ed!8m2!3d12.9036967!4d77.6486799!16s%2Fg%2F11mxnnnqsp!19sChIJBSsVgvgVrjsR7Qf8jT8ZFAI,4.5,785,true,2490
LE KENE,https://www.google.com/maps/place/LE+KENE/data=!4m7!3m6!1s0x3bae15261e4d9101:0xb6edc187c7909958!8m2!3d12.9157344!4d77.6445352!16s%2Fg%2F11trrhbcxz!19sChIJAZFNHiYVrjsRWJmQx4fB7bY,4.4,747,true,226209
Tribes Coffee,https://www.google.com/maps/place/Tribes+Coffee/data=!4m7!3m6!1s0x3bae15e9c1e93be3:0x49012a1b967559b9!8m2!3d12.9091028!4d77.6435332!16s%2Fg%2F11xgw1vt66!19sChIJ4zvpwekVrjsRuVl1lhsqAUk,4.8,734,true,
Bramha Cafe,https://www.google.com/maps/place/Bramha+Cafe/data=!4m7!3m6!1s0x3bae1500451069d3:0x85bb2f6dd351ffd6!8m2!3d12.9119397!4d77.6394243!16s%2Fg%2F11ltpxql42!19sChIJ02kQRQAVrjsR1v9R020vu4U,4.1,707,true,966996
Hebe's Cafe_HSR Layout,https://www.google.com/maps/place/Hebe%27s+Cafe_HSR+Layout/data=!4m7!3m6!1s0x3bae158e852f5d33:0xad0c7e5e2205168b!8m2!3d12.9091844!4d77.6402045!16s%2Fg%2F11qpshj1pd!19sChIJM10vhY4VrjsRixYFIl5-DK0,4.2,648,true,
BOOT CAMP - HSR LAYOUT,https://www.google.com/maps/place/BOOT+CAMP+-+HSR+LAYOUT/data=!4m7!3m6!1s0x3bae156722b395bf:0xde634bf21e1d9ee3!8m2!3d12.9139524!4d77.6442478!16s%2Fg%2F11spqf_nm_!19sChIJv5WzImcVrjsR454dHvJLY94,4.7,565,true,
The Faith Cafe,https://www.google.com/maps/place/The+Faith+Cafe/data=!4m7!3m6!1s0x3bae151380a5efd7:0x4fdae91d3369109e!8m2!3d12.9123589!4d77.6419972!16s%2Fg%2F11wv4s_n6l!19sChIJ1--lgBMVrjsRnhBpMx3p2k8,4.4,463,true,1034836
"Arodda Fusion Cafe - Pure Veg (Satvik, Jain and Vaishnav Options available)","https://www.google.com/maps/place/Arodda+Fusion+Cafe+-+Pure+Veg+%28Satvik,+Jain+and+Vaishnav+Options+available%29/data=!4m7!3m6!1s0x3bae15f4a1d3c4d9:0x114be49f50bbd185!8m2!3d12.9140454!4d77.6349746!16s%2Fg%2F11kq4x0n18!19sChIJ2cTTofQVrjsRhdG7UJ_kSxE",4.8,441,true,
Katha Kavana,https://www.google.com/maps/place/Katha+Kavana/data=!4m7!3m6!1s0x3bae15123f16ff91:0xdfee90c3b03b6ac5!8m2!3d12.9125242!4d77.6348699!16s%2Fg%2F11wxbsgjnx!19sChIJkf8WPxIVrjsRxWo7sMOQ7t8,4.1,427,true,1040756
Lama's Cafe,https://www.google.com/maps/place/Lama%27s+Cafe/data=!4m7!3m6!1s0x3bae15a4e1df751d:0x301f61445b808e37!8m2!3d12.9125575!4d77.6520574!16s%2Fg%2F11q9d8srrh!19sChIJHXXf4aQVrjsRN46AW0RhHzA,4.1,381,true,
Table for Tous – Café & Dessert Pâtisserie in HSR Layout,https://www.google.com/maps/place/Table+for+Tous+%E2%80%93+Caf%C3%A9+%26+Dessert+P%C3%A2tisserie+in+HSR+Layout/data=!4m7!3m6!1s0x3bae152d8c3fc9f7:0x65418b50765eb1b1!8m2!3d12.9165136!4d77.6357894!16s%2Fg%2F11sff1cw2h!19sChIJ98k_jC0VrjsRsbFedlCLQWU,4.4,371,true,416272
Now Boarding Café (Board Game Café) - Terminal 2,https://www.google.com/maps/place/Now+Boarding+Caf%C3%A9+%28Board+Game+Caf%C3%A9%29+-+Terminal+2/data=!4m7!3m6!1s0x3bae15de7ea19b05:0xbada2a94d30c0b48!8m2!3d12.9099891!4d77.6350535!16s%2Fg%2F11lmw3v5h7!19sChIJBZuhft4VrjsRSAsM05Qq2ro,4.6,369,true,
Mara Coffee & Roasters,https://www.google.com/maps/place/Mara+Coffee+%26+Roasters/data=!4m7!3m6!1s0x3bae1500779a544b:0xaf8508338aeec910!8m2!3d12.9078628!4d77.6476043!16s%2Fg%2F11vy87dwyl!19sChIJS1SadwAVrjsREMnuijMIha8,4.4,342,true,
Essentials Cafe,https://www.google.com/maps/place/Essentials+Cafe/data=!4m7!3m6!1s0x3bae1504120d7895:0x7a88414bfbbf957c!8m2!3d12.9085279!4d77.6499549!16s%2Fg%2F11t2_19g66!19sChIJlXgNEgQVrjsRfJW_-0tBiHo,4.9,241,true,
@Whelp's Cafe,https://www.google.com/maps/place/%27@Whelp%27s+Cafe%27/data=!4m7!3m6!1s0x3bae15e7d8ce39df:0x5ec204e62c234bbb!8m2!3d12.919675!4d77.6453407!16s%2Fg%2F11w8m11c3n!19sChIJ3znO2OcVrjsRu0sjLOYEwl4,4.8,235,true,1246164
abcoffee HSR Layout,https://www.google.com/maps/place/abcoffee+HSR+Layout/data=!4m7!3m6!1s0x3bae155d9db63cd1:0x4a5609f0aa60ccd1!8m2!3d12.9162984!4d77.6471143!16s%2Fg%2F11lyg8b4wf!19sChIJ0Ty2nV0VrjsR0cxgqvAJVko,4.4,190,true,
The Digitale Chef - Vegan Patisserie Cafe,https://www.google.com/maps/place/The+Digitale+Chef+-+Vegan+Patisserie+Cafe/data=!4m7!3m6!1s0x3bae6bb68f4bf1f9:0x4e08306433215357!8m2!3d12.9077271!4d77.6409321!16s%2Fg%2F11k5hq43q1!19sChIJ-fFLj7ZrrjsRV1MhM2QwCE4,4.6,189,true,292629
Paper & Pie - HSR,https://www.google.com/maps/place/Paper+%26+Pie+-+HSR/data=!4m7!3m6!1s0x3bae1555deaba261:0x4bd47998f3f2aff0!8m2!3d12.9139724!4d77.6422559!16s%2Fg%2F11y02m58lf!19sChIJYaKr3lUVrjsR8K_y85h51Es,4.6,173,true,
Heisetasse Beverages Private Limited Training Centre,https://www.google.com/maps/place/Heisetasse+Beverages+Private+Limited+Training+Centre/data=!4m7!3m6!1s0x3bae14834d22d697:0x8708e8a22986de0b!8m2!3d12.9117549!4d77.6502262!16s%2Fg%2F11pv2b7j8j!19sChIJl9YiTYMUrjsRC96GKaLoCIc,4.4,153,true,
Atthemane Coffee,https://www.google.com/maps/place/Atthemane+Coffee/data=!4m7!3m6!1s0x3bae15004a8d0bd5:0xb9f093986acc0f66!8m2!3d12.9142979!4d77.6382992!16s%2Fg%2F11y781d6_d!19sChIJ1QuNSgAVrjsRZg_MapiT8Lk,4.3,146,true,
Melt N' Brew,https://www.google.com/maps/place/Melt+N%27+Brew/data=!4m7!3m6!1s0x3bae1549ae9352b5:0x769d97da1e4b38c3!8m2!3d12.9139578!4d77.648677!16s%2Fg%2F11m5lz6dg2!19sChIJtVKTrkkVrjsRwzhLHtqXnXY,4.8,144,true,
Kappu,https://www.google.com/maps/place/Kappu/data=!4m7!3m6!1s0x3bae15c5020701a1:0x3ed82c7ced517b2d!8m2!3d12.9141854!4d77.6416187!16s%2Fg%2F11ycyww82_!19sChIJoQEHAsUVrjsRLXtR7Xws2D4,4.8,120,true,1123276
The Shresta Cafe,https://www.google.com/maps/place/The+Shresta+Cafe/data=!4m7!3m6!1s0x3bae15007f3fc35d:0x7e8300f8adfe680a!8m2!3d12.9191424!4d77.6492099!16s%2Fg%2F11vqp3l3tz!19sChIJXcM_fwAVrjsRCmj-rfgAg34,4.8,107,true,
Blue Tokai Coffee Roasters | HSR Layout Sec 7,https://www.google.com/maps/place/Blue+Tokai+Coffee+Roasters+%7C+HSR+Layout+Sec+7/data=!4m7!3m6!1s0x3bae150057e0d1d1:0xc3dc19e84cbf1175!8m2!3d12.9120239!4d77.6380386!16s%2Fg%2F11xvzn9jtd!19sChIJ0dHgVwAVrjsRdRG_TOgZ3MM,4.9,92,true,91628
